order_external_id,customer_code,order_date,line_no,sku,qty,unit_price_cents,currency
EXT-410198,CUST-19,2024-07-26,1,SKU-DUX,22,46882,ZAR
EXT-410198,CUST-19,2024-07-26,2,SKU-FEZ,9,188600,ZAR
EXT-410324,CUST-14,2024-06-01,1,SKU-GUY,8,57188,ZAR
EXT-410324,CUST-14,2024-06-01,2,SKU-FIX,8,10415,ZAR
EXT-410324,CUST-14,2024-06-01,3,SKU-DUZ,21,177147,ZAR
EXT-410281,CUST-01,2024-06-10,1,SKU-DUY,22,44777,ZAR
EXT-410026,CUST-07,2024-06-16,1,SKU-CAX,1,100582,ZAR
EXT-410026,CUST-07,2024-06-16,2,SKU-DAZ,8,157781,ZAR
EXT-410026,CUST-07,2024-06-16,3,SKU-EIZ,5,39325,ZAR
EXT-410420,CUST-16,2024-07-14,1,SKU-CIZ,2,183086,ZAR
EXT-410151,CUST-01,2024-06-01,1,SKU-FEZ,13,150,ZAR
EXT-410151,CUST-01,2024-06-01,2,SKU-GOY,23,33492,ZAR
EXT-410151,CUST-01,2024-06-01,3,SKU-AAZ,24,233756,ZAR
EXT-410334,CUST-20,2024-07-05,1,SKU-BAY,19,53367,ZAR
EXT-410334,CUST-20,2024-07-05,2,SKU-GOZ,4,131093,ZAR
EXT-410334,CUST-20,2024-07-05,3,SKU-AEX,10,112676,ZAR
EXT-410184,CUST-08,2024-07-21,1,SKU-EUX,12,78463,ZAR
EXT-410184,CUST-08,2024-07-21,2,SKU-BUY,8,53050,ZAR
EXT-410069,CUST-06,2024-07-07,1,SKU-EAX,10,115904,ZAR
EXT-410069,CUST-06,2024-07-07,2,SKU-GEX,19,39606,ZAR
EXT-410069,CUST-06,2024-07-07,3,SKU-DOZ,5,10808,ZAR
EXT-3035,CUST-20,2024-07-04,1,SKU-BEY,7,127001,ZAR
EXT-410058,CUST-06,2024-07-04,1,SKU-COX,6,161175,ZAR
EXT-410058,CUST-06,2024-07-04,2,SKU-AAZ,21,172524,ZAR
EXT-410058,CUST-06,2024-07-04,3,SKU-AEY,13,220053,ZAR
EXT-410041,CUST-13,2024-06-09,1,SKU-GAX,1,31812,ZAR
EXT-410385,CUST-03,2024-07-20,1,SKU-AOY,13,88128,ZAR
EXT-410385,CUST-03,2024-07-20,2,SKU-HUY,6,132552,ZAR
EXT-410385,CUST-03,2024-07-20,3,SKU-AUY,15,31262,ZAR
EXT-410305,CUST-03,2024-06-11,1,SKU-EEX,10,159707,ZAR
EXT-410222,CUST-05,2024-07-18,1,SKU-GEX,15,30987,ZAR
EXT-410123,CUST-07,2024-07-24,1,SKU-FEY,9,51264,ZAR
EXT-410105,CUST-15,2024-07-01,1,SKU-AEX,19,217858,ZAR
EXT-410105,CUST-15,2024-07-01,2,SKU-DOY,7,66263,ZAR
EXT-410105,CUST-15,2024-07-01,3,SKU-BIY,17,22686,ZAR
EXT-410229,CUST-20,2024-06-07,1,SKU-EUY,11,104435,ZAR
EXT-410229,CUST-20,2024-06-07,2,SKU-EAY,1,137932,ZAR
EXT-410229,CUST-20,2024-06-07,3,SKU-COY,14,148130,ZAR
EXT-410142,CUST-20,2024-07-05,1,SKU-CAY,1,130844,ZAR
EXT-410353,CUST-11,2024-07-25,1,SKU-BAY,6,153977,ZAR
EXT-410065,CUST-03,2024-07-12,1,SKU-GUX,17,122482,ZAR
,,,,,,,
EXT-410413,CUST-05,2024-07-07,1,SKU-EAZ,2,184982,ZAR
EXT-410413,CUST-05,2024-07-07,2,SKU-HOX,25,71302,ZAR
EXT-410413,CUST-05,2024-07-07,3,SKU-DOY,6,114493,ZAR
EXT-410407,CUST-11,2024-07-12,1,SKU-GUX,10,214464,ZAR
EXT-410407,CUST-11,2024-07-12,2,SKU-BUY,2,61815,ZAR
EXT-410262,CUST-19,2024-06-20,1,SKU-EIZ,17,179655,ZAR
EXT-410262,CUST-19,2024-06-20,2,SKU-BOY,24,175062,ZAR
EXT-410009,CUST-10,2024-06-19,1,SKU-AAZ,18,246282,ZAR
EXT-410232,CUST-13,2024-07-01,1,SKU-COZ,10,69834,ZAR
EXT-410232,CUST-13,2024-07-01,2,SKU-GEY,1,184585,ZAR
EXT-410277,CUST-05,2024-06-17,1,SKU-CIX,10,70231,ZAR
EXT-410277,CUST-05,2024-06-17,2,SKU-BUX,8,128818,ZAR
EXT-410418,CUST-06,2024-06-25,1,SKU-EAY,7,2251,ZAR
EXT-410418,CUST-06,2024-06-25,2,SKU-FEY,21,94409,ZAR
EXT-3031,CUST-03,2024-06-12,1,SKU-EOX,16,58481,ZAR
EXT-3031,CUST-03,2024-06-12,2,SKU-DEX,4,170962,ZAR
EXT-3031,CUST-03,2024-06-12,3,SKU-BEX,5,106175,ZAR
EXT-3030,CUST-01,2024-07-09,1,SKU-GUX,14,223565,ZAR
EXT-3030,CUST-01,2024-07-09,2,SKU-FUZ,24,238768,ZAR
EXT-3030,CUST-01,2024-07-09,3,SKU-DEX,5,207987,ZAR
EXT-3030,CUST-01,2024-07-09,4,SKU-CAX,11,236079,ZAR
EXT-410239,CUST-10,2024-06-16,1,SKU-DOX,10,36258,ZAR
EXT-410239,CUST-10,2024-06-16,2,SKU-AOX,3,68506,ZAR
EXT-3022,CUST-07,2024-07-16,1,SKU-AEY,5,44458,ZAR
EXT-3022,CUST-07,2024-07-16,2,SKU-FUX,23,110618,ZAR
EXT-3022,CUST-07,2024-07-16,3,SKU-DOZ,22,221161,ZAR
EXT-3022,CUST-07,2024-07-16,4,SKU-GOY,14,79973,ZAR
EXT-3033,CUST-04,2024-06-09,1,SKU-DUY,2,109227,ZAR
EXT-3033,CUST-04,2024-06-09,2,SKU-CIY,13,170402,ZAR
EXT-3033,CUST-04,2024-06-09,3,SKU-CAX,7,203945,ZAR
EXT-3033,CUST-04,2024-06-09,4,SKU-HEX,11,61450,ZAR
EXT-410053,CUST-01,2024-06-03,1,SKU-AOX,13,238743,ZAR
EXT-410053,CUST-01,2024-06-03,2,SKU-GAX,22,148600,ZAR
EXT-410053,CUST-01,2024-06-03,3,SKU-HOZ,19,244350,ZAR
EXT-410167,CUST-11,2024-07-01,1,SKU-GOX,23,186961,ZAR
EXT-410167,CUST-11,2024-07-01,2,SKU-DIY,1,205983,ZAR
EXT-410010,CUST-01,2024-07-17,1,SKU-HOZ,25,82217,ZAR
EXT-410150,CUST-15,2024-06-05,1,SKU-AIZ,21,237319,ZAR
EXT-410150,CUST-15,2024-06-05,2,SKU-AOY,17,104780,ZAR
EXT-410150,CUST-15,2024-06-05,3,SKU-DOZ,21,156898,ZAR
EXT-410374,CUST-20,2024-06-11,1,SKU-CAY,19,28492,ZAR
EXT-410412,CUST-10,2024-07-01,1,SKU-EEY,18,212340,ZAR
EXT-410412,CUST-10,2024-07-01,2,SKU-EIY,13,7244,ZAR
EXT-3027,CUST-09,2024-06-22,1,SKU-BAZ,16,65734,ZAR
EXT-3027,CUST-09,2024-06-22,2,SKU-EEX,19,75451,ZAR
EXT-3027,CUST-09,2024-06-22,3,SKU-FAX,4,41826,ZAR
EXT-3027,CUST-09,2024-06-22,4,SKU-BOX,21,3986,ZAR
EXT-3011,CUST-11,2024-06-06,1,SKU-EIY,13,215027,ZAR
EXT-3011,CUST-11,2024-06-06,2,SKU-CAZ,4,47450,ZAR
EXT-410264,CUST-02,2024-07-21,1,SKU-GIZ,16,6605,ZAR
EXT-410264,CUST-02,2024-07-21,2,SKU-EEY,1,220546,ZAR
EXT-410400,CUST-15,2024-07-03,1,SKU-AIX,20,36270,ZAR
EXT-410331,CUST-14,2024-06-21,1,SKU-HEZ,6,200039,ZAR
EXT-410331,CUST-14,2024-06-21,2,SKU-DIY,11,152611,ZAR
EXT-410104,CUST-13,2024-07-21,1,SKU-HEX,24,37061,ZAR
EXT-410185,CUST-02,2024-07-07,1,SKU-AAY,2,63153,ZAR
EXT-410185,CUST-02,2024-07-07,2,SKU-AOY,13,63447,ZAR
EXT-410185,CUST-02,2024-07-07,3,SKU-HOX,15,226778,ZAR
EXT-410402,CUST-16,2024-07-02,1,SKU-DOX,6,35893,ZAR
EXT-410402,CUST-16,2024-07-02,2,SKU-DUZ,21,221168,ZAR
EXT-410035,CUST-18,2024-06-09,1,SKU-DUY,19,98090,ZAR
EXT-410173,CUST-09,2024-07-07,1,SKU-DOY,9,55245,ZAR
EXT-410173,CUST-09,2024-07-07,2,SKU-BOZ,19,40391,ZAR
EXT-410173,CUST-09,2024-07-07,3,SKU-BUX,6,150474,ZAR
EXT-410106,CUST-05,2024-06-27,1,SKU-DOZ,2,75423,ZAR
EXT-410106,CUST-05,2024-06-27,2,SKU-FAX,9,151333,ZAR
EXT-410106,CUST-05,2024-06-27,3,SKU-CUX,18,202599,ZAR
EXT-410037,CUST-02,2024-06-14,1,SKU-FOX,6,220211,ZAR
EXT-3026,CUST-19,2024-07-12,1,SKU-GUZ,9,158092,ZAR
EXT-410114,CUST-01,2024-07-23,1,SKU-BIZ,16,97510,ZAR
EXT-410114,CUST-01,2024-07-23,2,SKU-AOX,13,197924,ZAR
EXT-410114,CUST-01,2024-07-23,3,SKU-GIZ,12,30792,ZAR
EXT-410273,CUST-07,2024-07-12,1,SKU-GAY,12,131900,ZAR
EXT-410273,CUST-07,2024-07-12,2,SKU-CEY,11,122027,ZAR
EXT-410273,CUST-07,2024-07-12,3,SKU-AUZ,12,58976,ZAR
EXT-410126,CUST-07,2024-07-11,1,SKU-FEX,25,27344,ZAR
EXT-410126,CUST-07,2024-07-11,2,SKU-DIX,19,61499,ZAR
EXT-410252,CUST-20,2024-07-22,1,SKU-GUX,15,229161,ZAR
EXT-410371,CUST-01,2024-06-07,1,SKU-DEZ,24,46462,ZAR
EXT-410371,CUST-01,2024-06-07,2,SKU-HEY,18,227645,ZAR
EXT-410221,CUST-20,2024-07-23,1,SKU-BAY,24,246826,ZAR
EXT-410221,CUST-20,2024-07-23,2,SKU-EAZ,4,155949,ZAR
EXT-410383,CUST-07,2024-06-01,1,SKU-EEX,5,214908,ZAR
EXT-410110,CUST-19,2024-07-13,1,SKU-EAZ,19,131947,ZAR
EXT-410276,CUST-19,2024-07-26,1,SKU-AUZ,14,220647,ZAR
EXT-410410,CUST-03,2024-07-01,1,SKU-AUZ,5,95003,ZAR
EXT-410410,CUST-03,2024-07-01,2,SKU-FAY,8,87664,ZAR
EXT-410410,CUST-03,2024-07-01,3,SKU-AEY,14,68461,ZAR
EXT-3013,CUST-05,2024-06-22,1,SKU-EEY,18,194208,ZAR
EXT-3013,CUST-05,2024-06-22,2,SKU-GAX,20,72105,ZAR
EXT-3013,CUST-05,2024-06-22,3,SKU-DOZ,5,60499,ZAR
EXT-410309,CUST-17,2024-06-02,1,SKU-EEZ,6,158782,ZAR
EXT-410309,CUST-17,2024-06-02,2,SKU-AIX,13,129485,ZAR
EXT-410207,CUST-16,2024-07-22,1,SKU-FAX,21,143571,ZAR
EXT-410257,CUST-01,2024-07-07,1,SKU-EAZ,22,62515,ZAR
EXT-410257,CUST-01,2024-07-07,2,SKU-GAX,1,40559,ZAR
EXT-410257,CUST-01,2024-07-07,3,SKU-GAY,23,242608,ZAR
EXT-410326,CUST-06,2024-06-20,1,SKU-HEY,11,73566,ZAR
EXT-410326,CUST-06,2024-06-20,2,SKU-CIX,24,155404,ZAR
EXT-410258,CUST-09,2024-06-12,1,SKU-AEZ,24,72527,ZAR
EXT-410258,CUST-09,2024-06-12,2,SKU-AEX,22,6883,ZAR
EXT-410161,CUST-10,2024-06-06,1,SKU-FEZ,3,247553,ZAR
EXT-410286,CUST-08,2024-06-03,1,SKU-GIX,17,65630,ZAR
EXT-410286,CUST-08,2024-06-03,2,SKU-BAZ,4,188834,ZAR
EXT-410095,CUST-08,2024-07-11,1,SKU-AEY,21,98094,ZAR
EXT-1005,CUST-05,2024-07-07,1,SKU-HHH,1,2000,ZAR
EXT-1005,CUST-05,2024-07-07,2,SKU-III,2,3000,ZAR
EXT-1005,CUST-05,2024-07-07,3,SKU-JJJ,1,4000,ZAR
EXT-410354,CUST-09,2024-06-07,1,SKU-HEZ,8,111127,ZAR
EXT-410248,CUST-08,2024-06-20,1,SKU-GOY,20,102788,ZAR
EXT-410248,CUST-08,2024-06-20,2,SKU-GEY,22,171323,ZAR
EXT-410248,CUST-08,2024-06-20,3,SKU-GEX,6,95158,ZAR
EXT-410192,CUST-05,2024-06-27,1,SKU-AOX,10,240493,ZAR
EXT-410192,CUST-05,2024-06-27,2,SKU-BOY,10,226927,ZAR
EXT-410192,CUST-05,2024-06-27,3,SKU-DUX,14,91360,ZAR
EXT-410134,CUST-09,2024-06-14,1,SKU-FAY,16,77973,ZAR
EXT-410247,CUST-20,2024-06-28,1,SKU-EOZ,23,168790,ZAR
EXT-410080,CUST-15,2024-07-14,1,SKU-BAY,24,205082,ZAR
EXT-410080,CUST-15,2024-07-14,2,SKU-CUX,12,220899,ZAR
EXT-410080,CUST-15,2024-07-14,3,SKU-DUY,20,38263,ZAR
EXT-410285,CUST-19,2024-06-16,1,SKU-GOY,13,75554,ZAR
EXT-410028,CUST-14,2024-06-02,1,SKU-HUY,6,69009,ZAR
EXT-410028,CUST-14,2024-06-02,2,SKU-EAX,23,234677,ZAR
EXT-410028,CUST-14,2024-06-02,3,SKU-HEZ,3,40894,ZAR
EXT-410177,CUST-01,2024-07-20,1,SKU-BAY,7,17975,ZAR
EXT-410396,CUST-08,2024-06-12,1,SKU-GOZ,21,214284,ZAR
EXT-410284,CUST-19,2024-07-20,1,SKU-FAZ,12,137774,ZAR
EXT-410260,CUST-09,2024-06-17,1,SKU-CIZ,21,238618,ZAR
EXT-410260,CUST-09,2024-06-17,2,SKU-EOY,22,172111,ZAR
EXT-410180,CUST-09,2024-06-17,1,SKU-BUX,15,206154,ZAR
EXT-410180,CUST-09,2024-06-17,2,SKU-FEZ,14,176992,ZAR
EXT-410180,CUST-09,2024-06-17,3,SKU-BAZ,22,142668,ZAR
EXT-410168,CUST-10,2024-06-27,1,SKU-COY,15,71933,ZAR
EXT-410312,CUST-11,2024-06-19,1,SKU-AUZ,20,2489,ZAR
EXT-410312,CUST-11,2024-06-19,2,SKU-CIY,20,7313,ZAR
EXT-3044,CUST-04,2024-06-01,1,SKU-FOX,11,82174,ZAR
EXT-3045,CUST-12,2024-07-20,1,SKU-EEZ,10,158428,ZAR
EXT-3045,CUST-12,2024-07-20,2,SKU-GOX,21,249524,ZAR
EXT-3045,CUST-12,2024-07-20,3,SKU-EOY,22,139419,ZAR
EXT-3045,CUST-12,2024-07-20,4,SKU-EAY,13,223798,ZAR
EXT-410205,CUST-03,2024-07-13,1,SKU-EIX,12,168542,ZAR
EXT-410205,CUST-03,2024-07-13,2,SKU-FIY,5,211709,ZAR
EXT-410102,CUST-03,2024-06-02,1,SKU-AEY,3,8639,ZAR
EXT-410094,CUST-10,2024-06-14,1,SKU-DAX,18,248025,ZAR
EXT-410094,CUST-10,2024-06-14,2,SKU-HAY,15,130817,ZAR
EXT-3052,CUST-17,2024-07-21,1,SKU-COX,13,239011,ZAR
EXT-3052,CUST-17,2024-07-21,2,SKU-CEX,3,104468,ZAR
EXT-410296,CUST-12,2024-06-26,1,SKU-COZ,8,239004,ZAR
EXT-9102,CUST-10,2024-07-11,1,SKU-QAB,2,1000
EXT-3020,CUST-02,2024-07-19,1,SKU-AIY,25,97284,ZAR
EXT-3020,CUST-02,2024-07-19,2,SKU-FUZ,2,217922,ZAR
EXT-410070,CUST-03,2024-06-01,1,SKU-DEY,16,107704,ZAR
EXT-410070,CUST-03,2024-06-01,2,SKU-FEY,8,104367,ZAR
EXT-3048,CUST-11,2024-06-22,1,SKU-FEY,3,207335,ZAR
EXT-3048,CUST-11,2024-06-22,2,SKU-DEZ,19,178342,ZAR
EXT-3048,CUST-11,2024-06-22,3,SKU-BAY,9,35150,ZAR
EXT-410144,CUST-06,2024-06-04,1,SKU-DIX,2,155003,ZAR
EXT-410144,CUST-06,2024-06-04,2,SKU-DEY,12,131460,ZAR
EXT-410144,CUST-06,2024-06-04,3,SKU-BIZ,16,189637,ZAR
